Test Report,,,,,
,,,,,
>>Start Time: 02/09/24 12:37:43       End Time: 04/04/24 15:37:43,,,,,
>>Sampling rate: 3600sec,,,,,
>>Data number: 1324,,,,,
>>Temp HIGH alarm: 40 C   Temp LOW alarm: 0 C,,,,,
>>RH HIGH alarm: 97 %RH   RH LOW alarm: 30 %RH,,,,,
>>Temp MAX: 33.4 C @03/11/24 19:37:43  Temp MIN: 24.4 C @02/09/24 12:37:43  Temp AVG: 28.27 C,,,,,
>>RH MAX: 76.8 %RH @03/25/24 17:37:43  RH MIN: 36.6 %RH @03/26/24 18:37:43  RH AVG: 59.80 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
NO,Temp,,RH,,TIME
1,24.4 C,,55.8 %RH,,02/09/24 12:37:43
2,25.7 C,,50.7 %RH,,02/09/24 13:37:43
3,26.3 C,,50.6 %RH,,02/09/24 14:37:43
4,27.0 C,,51.6 %RH,,02/09/24 15:37:43
5,26.6 C,,50.7 %RH,,02/09/24 16:37:43
6,26.1 C,,52.7 %RH,,02/09/24 17:37:43
7,26.1 C,,51.0 %RH,,02/09/24 18:37:43
8,27.1 C,,51.5 %RH,,02/09/24 19:37:43
9,27.3 C,,51.3 %RH,,02/09/24 20:37:43
10,26.6 C,,52.3 %RH,,02/09/24 21:37:43
11,26.3 C,,52.8 %RH,,02/09/24 22:37:43
12,25.9 C,,53.5 %RH,,02/09/24 23:37:43
13,25.7 C,,53.8 %RH,,02/10/24 0:37:43
14,25.6 C,,54.5 %RH,,02/10/24 1:37:43
15,25.6 C,,55.1 %RH,,02/10/24 2:37:43
16,25.4 C,,55.8 %RH,,02/10/24 3:37:43
17,25.4 C,,56.5 %RH,,02/10/24 4:37:43
18,25.4 C,,57.0 %RH,,02/10/24 5:37:43
19,25.4 C,,57.5 %RH,,02/10/24 6:37:43
20,25.5 C,,58.5 %RH,,02/10/24 7:37:43
21,25.7 C,,57.2 %RH,,02/10/24 8:37:43
22,25.7 C,,56.5 %RH,,02/10/24 9:37:43
23,25.9 C,,57.3 %RH,,02/10/24 10:37:43
24,26.8 C,,55.4 %RH,,02/10/24 11:37:43
25,26.5 C,,58.3 %RH,,02/10/24 12:37:43
26,27.1 C,,58.5 %RH,,02/10/24 13:37:43
27,27.6 C,,56.2 %RH,,02/10/24 14:37:43
28,27.6 C,,58.9 %RH,,02/10/24 15:37:43
29,27.5 C,,60.4 %RH,,02/10/24 16:37:43
30,27.6 C,,61.1 %RH,,02/10/24 17:37:43
31,27.4 C,,57.1 %RH,,02/10/24 18:37:43
32,27.1 C,,58.5 %RH,,02/10/24 19:37:43
33,27.2 C,,59.3 %RH,,02/10/24 20:37:43
34,26.9 C,,59.6 %RH,,02/10/24 21:37:43
35,27.4 C,,58.9 %RH,,02/10/24 22:37:43
36,27.2 C,,60.4 %RH,,02/10/24 23:37:43
37,26.8 C,,57.7 %RH,,02/11/24 0:37:43
38,25.6 C,,59.4 %RH,,02/11/24 1:37:43
39,25.2 C,,60.6 %RH,,02/11/24 2:37:43
40,25.1 C,,65.7 %RH,,02/11/24 3:37:43
41,25.0 C,,66.4 %RH,,02/11/24 4:37:43
42,25.3 C,,64.3 %RH,,02/11/24 5:37:43
43,25.6 C,,62.2 %RH,,02/11/24 6:37:43
44,25.5 C,,62.6 %RH,,02/11/24 7:37:43
45,25.6 C,,64.1 %RH,,02/11/24 8:37:43
46,25.6 C,,62.6 %RH,,02/11/24 9:37:43
47,26.1 C,,60.0 %RH,,02/11/24 10:37:43
48,26.5 C,,58.0 %RH,,02/11/24 11:37:43
49,27.0 C,,54.7 %RH,,02/11/24 12:37:43
50,27.4 C,,53.6 %RH,,02/11/24 13:37:43
51,28.1 C,,52.8 %RH,,02/11/24 14:37:43
52,28.8 C,,50.3 %RH,,02/11/24 15:37:43
53,29.4 C,,46.1 %RH,,02/11/24 16:37:43
54,29.5 C,,47.7 %RH,,02/11/24 17:37:43
